SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm
CHEN-205-500,,5,,9,,6,,0,,,0,,20,,,,2.95,,0,,,0,,,0,,,False,,,0,,20,,,ABDEL-WAHAB A,,
,,0.25,,0.45,,0.3,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,9,,6,,0,,,0,,20,,,,2.95,,0,,,0,,,0,,,False,,,0,,20,,,,,
,,0.25,,0.45,,0.3,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-322-500,,4,,9,,3,,0,,,0,,16,,,,3.062,,0,,,0,,,0,,,False,,,1,,17,,,ABDALLA A,,
,,0.25,,0.5625,,0.1875,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,9,,3,,0,,,0,,16,,,,3.062,,0,,,0,,,0,,,False,,,1,,17,,,,,
,,0.25,,0.5625,,0.1875,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-323-500,,6,,6,,2,,1,,,0,,15,,,,3.133,,0,,,0,,,0,,,False,,,0,,15,,,NOUNOU M,,
,,0.4,,0.4,,0.1333,,0.0667,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,6,,2,,1,,,0,,15,,,,3.133,,0,,,0,,,0,,,False,,,0,,15,,,,,
,,0.4,,0.4,,0.1333,,0.0667,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-382-500,,3,,9,,4,,0,,,0,,16,,,,2.937,,0,,,0,,,0,,,False,,,0,,16,,,AL-HASHIMI M,,
,,0.1875,,0.5625,,0.25,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,3,,9,,4,,0,,,0,,16,,,,2.937,,0,,,0,,,0,,,False,,,0,,16,,,,,
,,0.1875,,0.5625,,0.25,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-426-500,,8,,7,,0,,0,,,0,,15,,,,3.533,,0,,,0,,,0,,,False,,,0,,15,,,LINKE P,,
,,0.5333,,0.4667,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,7,,0,,0,,,0,,15,,,,3.533,,0,,,0,,,0,,,False,,,0,,15,,,,,
,,0.5333,,0.4667,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-433-901,,9,,6,,0,,0,,,0,,15,,,,3.6,,0,,,0,,,0,,,False,,,0,,15,,,SALAMA G,,
,,0.6,,0.4,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,6,,0,,0,,,0,,15,,,,3.6,,0,,,0,,,0,,,False,,,0,,15,,,,,
,,0.6,,0.4,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,,
CHEN-459-500,,5,,8,,0,,0,,,0,,,13,,,3.384,,0,,,,False,,,False,,,False,,0,,13,,ELBASHIR N,,,
,,0.3846,,0.6154,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,8,,0,,0,,,0,,,13,,,3.384,,0,,,,False,,,False,,,False,,0,,13,,,,,
,,0.3846,,0.6154,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-461-500,,6,,6,,3,,0,,,0,,,15,,,3.2,,0,,,,False,,,False,,,False,,0,,15,,NOUNOU M,,,
,,0.4,,0.4,,0.2,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,6,,3,,0,,,0,,,15,,,3.2,,0,,,,False,,,False,,,False,,0,,15,,,,,
,,0.4,,0.4,,0.2,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-623-600,,11,,6,,4,,1,,,0,,,22,,,3.227,,0,,,,False,,,False,,,False,,0,,22,,ECONOMOU I,,,
,,0.5,,0.2727,,0.1818,,0.0455,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,6,,4,,1,,,0,,,22,,,3.227,,0,,,,False,,,False,,,False,,0,,22,,,,,
,,0.5,,0.2727,,0.1818,,0.0455,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-624-600,,9,,6,,4,,0,,,0,,,19,,,3.263,,0,,,,False,,,False,,,False,,0,,19,,ELSAID K,,,
,,0.4737,,0.3158,,0.2105,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,6,,4,,0,,,0,,,19,,,3.263,,0,,,,False,,,False,,,False,,0,,19,,,,,
,,0.4737,,0.3158,,0.2105,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-689-601,,8,,3,,0,,0,,,0,,,11,,,3.727,,0,,,,False,,,False,,,False,,0,,11,,MARKATOS N,,,
,,0.7273,,0.2727,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-689-602,,7,,0,,0,,0,,,0,,,7,,,4.0,,0,,,,False,,,False,,,False,,0,,7,,KAKOSIMOS K,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,15,,3,,0,,0,,,0,,,18,,,3.833,,0,,,,False,,,False,,,False,,0,,18,,,,,
,,0.8333,,0.1667,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,81,,75,,26,,2,,,0,,1843.268,,,,,,0,,,0,,,0,,,False,,,1,,185,,,,,
,,0.4402,,0.4076,,0.1413,,0.0109,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
