SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
CHEN-204-500,,6,,11,,7,,1,,,2,,27,,,,2.666,,0,,,0,,,0,,,False,,,0,,27,,,SALAMA G,
,,0.2222,,0.4074,,0.2593,,0.037,,,0.0741,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,11,,7,,1,,,2,,27,,,,2.666,,0,,,0,,,0,,,False,,,0,,27,,,,
,,0.2222,,0.4074,,0.2593,,0.037,,,0.0741,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-304-500,,6,,8,,6,,1,,,0,,21,,,,2.904,,0,,,0,,,0,,,False,,,0,,21,,,KAKOSIMOS K,
,,0.2857,,0.381,,0.2857,,0.0476,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,8,,6,,1,,,0,,21,,,,2.904,,0,,,0,,,0,,,False,,,0,,21,,,,
,,0.2857,,0.381,,0.2857,,0.0476,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-320-500,,7,,14,,0,,0,,,0,,21,,,,3.333,,0,,,0,,,0,,,False,,,0,,21,,,AL-MOHANNADI D,
,,0.3333,,0.6667,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,14,,0,,0,,,0,,21,,,,3.333,,0,,,0,,,0,,,False,,,0,,21,,,,
,,0.3333,,0.6667,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEN-324-500,,3,,6,,4,,3,,,0,,16,,,,2.562,,0,,,0,,,0,,,False,,,0,,16,,,ABDALLA A,
,,0.1875,,0.375,,0.25,,0.1875,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,3,,6,,4,,3,,,0,,16,,,,2.562,,0,,,0,,,0,,,False,,,0,,16,,,,
,,0.1875,,0.375,,0.25,,0.1875,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
