SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,o,GPR,q,I,s,t,S,v,w,U,y,z,Q,bb,cc,X,ee,ff,TOTAL,hh,INSTRUCTOR,jj,kk
BIOL-107-501,,5,,6,,5,,2,,1,,,19,,2.632,,,False,,,False,,,False,,,5,,,False,,24,,WINEMILLER,,L
,,0.2632,,0.3158,,0.2632,,0.1053,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-502,,3,,7,,8,,3,,0,,,21,,2.476,,,False,,,False,,,False,,,3,,,False,,24,,WINEMILLER,,L
,,0.1429,,0.3333,,0.381,,0.1429,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-503,,5,,7,,5,,4,,1,,,22,,2.5,,,False,,,False,,,False,,,2,,,False,,24,,WINEMILLER,,L
,,0.2273,,0.3182,,0.2273,,0.1818,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-504,,2,,7,,1,,7,,2,,,19,,2.0,,,False,,,False,,,False,,,4,,,False,,23,,WINEMILLER,,L
,,0.1053,,0.3684,,0.0526,,0.3684,,0.1053,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-505,,7,,9,,3,,2,,2,,,23,,2.739,,,False,,,False,,,False,,,1,,,False,,24,,WINEMILLER,,L
,,0.3043,,0.3913,,0.1304,,0.087,,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-506,,2,,7,,8,,2,,3,,,22,,2.136,,,False,,,False,,,False,,,2,,,False,,24,,WINEMILLER,,L
,,0.0909,,0.3182,,0.3636,,0.0909,,0.1364,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-507,,7,,5,,7,,1,,1,,,21,,2.762,,,False,,,False,,,False,,,3,,,False,,24,,WINEMILLER,,L
,,0.3333,,0.2381,,0.3333,,0.0476,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-508,,5,,4,,8,,3,,1,,,21,,2.429,,,False,,,False,,,False,,,2,,,False,,23,,WINEMILLER,,L
,,0.2381,,0.1905,,0.381,,0.1429,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:      36,,,52,,45,,24,,11,,168,,,2.464,,False,,,False,,,False,,,22,,,False,,,190,,,,,
21.43%,,,0.3095,,0.2679,,0.1429,,0.0655,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-501            3,,,8,,5,,4,,0,,20,,,2.5,,False,,,False,,,False,,,4,,,False,,,24,,KEMP,,W,
15.00%,,,0.4,,0.25,,0.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-502            2,,,7,,5,,4,,2,,20,,,2.15,,False,,,False,,,False,,,4,,,False,,,24,,KEMP,,W,
10.00%,,,0.35,,0.25,,0.2,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-503            2,,,4,,14,,3,,1,,24,,,2.125,,False,,,False,,,False,,,0,,,False,,,24,,KEMP,,W,
8.33%,,,0.1667,,0.5833,,0.125,,0.0417,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-504            0,,,6,,9,,6,,2,,23,,,1.826,,False,,,False,,,False,,,0,,,False,,,23,,KEMP,,W,
0.00%,,,0.2609,,0.3913,,0.2609,,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPR,,I,,,S,,,U,,Q,,,,X,,,TOTAL,INSTRUCTOR,,,
BIOL-111-505,,2,,8,,10,,4,,0,,,24,,2.333,,0,,,,False,,,False,,,0,,0,,,24,KEMP W,,,
,,0.0833,,0.3333,,0.4167,,0.1667,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-506,,1,,6,,9,,3,,0,,,19,,2.263,,0,,,,False,,,False,,,4,,0,,,23,KEMP W,,,
,,0.0526,,0.3158,,0.4737,,0.1579,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-507,,2,,3,,9,,4,,1,,,19,,2.053,,0,,,,False,,,False,,,5,,0,,,24,KEMP W,,,
,,0.1053,,0.1579,,0.4737,,0.2105,,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-508,,3,,6,,6,,5,,2,,,22,,2.136,,0,,,,False,,,False,,,2,,0,,,24,KEMP W,,,
,,0.1364,,0.2727,,0.2727,,0.2273,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-509,,3,,2,,11,,3,,3,,,22,,1.954,,0,,,,False,,,False,,,2,,0,,,24,KEMP W,,,
,,0.1364,,0.0909,,0.5,,0.1364,,0.1364,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-510,,5,,8,,4,,3,,1,,,21,,2.619,,0,,,,False,,,False,,,2,,0,,,23,KEMP W,,,
,,0.2381,,0.381,,0.1905,,0.1429,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-511,,1,,5,,6,,5,,1,,,18,,2.0,,0,,,,False,,,False,,,4,,0,,,22,KEMP W,,,
,,0.0556,,0.2778,,0.3333,,0.2778,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-512,,1,,9,,9,,2,,0,,,21,,2.429,,0,,,,False,,,False,,,3,,0,,,24,KEMP W,,,
,,0.0476,,0.4286,,0.4286,,0.0952,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-513,,0,,7,,6,,8,,1,,,22,,1.864,,0,,,,False,,,False,,,1,,0,,,23,KEMP W,,,
,,0.0,,0.3182,,0.2727,,0.3636,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-514,,2,,5,,10,,5,,2,,,24,,2.0,,0,,,,False,,,False,,,0,,0,,,24,KEMP W,,,
,,0.0833,,0.2083,,0.4167,,0.2083,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-515,,1,,4,,11,,2,,2,,,20,,2.0,,0,,,,False,,,False,,,3,,0,,,23,KEMP W,,,
,,0.05,,0.2,,0.55,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-516,,1,,3,,11,,6,,0,,,21,,1.952,,0,,,,False,,,False,,,3,,0,,,24,KEMP W,,,
,,0.0476,,0.1429,,0.5238,,0.2857,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-517,,4,,5,,4,,6,,2,,,21,,2.143,,0,,,,False,,,False,,,2,,0,,,23,KEMP W,,,
,,0.1905,,0.2381,,0.1905,,0.2857,,0.0952,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPR,,I,,,S,,,U,,Q,,,,X,,,TOTAL,INSTRUCTOR,,,
BIOL-111-518,,1,,5,,11,,2,,0,,,19,,2.263,,0,,,,False,,,False,,,2,,0,,,21,KEMP W,,,
,,0.0526,,0.2632,,0.5789,,0.1053,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-519,,0,,6,,11,,5,,0,,,22,,2.046,,0,,,,False,,,False,,,1,,0,,,23,KEMP W,,,
,,0.0,,0.2727,,0.5,,0.2273,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-520,,5,,9,,5,,2,,0,,,21,,2.81,,0,,,,False,,,False,,,3,,0,,,24,KEMP W,,,
,,0.2381,,0.4286,,0.2381,,0.0952,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-521,,3,,5,,6,,1,,4,,,19,,2.105,,0,,,,False,,,False,,,3,,0,,,22,RAO A,,,
,,0.1579,,0.2632,,0.3158,,0.0526,,0.2105,,,,,,,,,,,,,,,,,,,,,,,,,,
