SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,o,GPA,q,I,s,S,u,U,w,Q,y,z,X,bb,cc,TOTAL,INSTRUCTOR,ff,gg
BIOL-100-500,,25,,5,,3,,2,,0,,,35,,3.514,,0,,,False,,False,,0,,0,,,35,RAO A,,
,,0.7143,,0.1429,,0.0857,,0.0571,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,25,,5,,3,,2,,0,,,35,,3.514,,0,,,False,,False,,0,,0,,,35,,,
,,0.7143,,0.1429,,0.0857,,0.0571,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-501,,3,,5,,3,,1,,3,,,15,,2.266,,0,,,False,,False,,1,,0,,,16,WINEMILLER,,L
,,0.2,,0.3333,,0.2,,0.0667,,0.2,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-502,,9,,8,,4,,1,,0,,,22,,3.136,,0,,,False,,False,,1,,0,,,23,WINEMILLER,,L
,,0.4091,,0.3636,,0.1818,,0.0455,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-503,,3,,9,,7,,0,,1,,,20,,2.65,,0,,,False,,False,,2,,0,,,22,WINEMILLER,,L
,,0.15,,0.45,,0.35,,0.0,,0.05,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-504,,4,,4,,2,,1,,1,,,12,,2.75,,0,,,False,,False,,4,,0,,,16,WINEMILLER,,L
,,0.3333,,0.3333,,0.1667,,0.0833,,0.0833,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-505,,6,,5,,8,,1,,1,,,21,,2.666,,0,,,False,,False,,3,,0,,,24,WINEMILLER,,L
,,0.2857,,0.2381,,0.381,,0.0476,,0.0476,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-506,,3,,9,,8,,0,,1,,,21,,2.619,,0,,,False,,False,,3,,0,,,24,WINEMILLER,,L
,,0.1429,,0.4286,,0.381,,0.0,,0.0476,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-507,,7,,6,,5,,5,,0,,,23,,2.652,,0,,,False,,False,,1,,0,,,24,WINEMILLER,,L
,,0.3043,,0.2609,,0.2174,,0.2174,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-508,,4,,8,,6,,3,,1,,,22,,2.5,,0,,,False,,False,,2,,0,,,24,WINEMILLER,,L
,,0.1818,,0.3636,,0.2727,,0.1364,,0.0455,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-509,,4,,7,,7,,1,,0,,,19,,2.736,,0,,,False,,False,,5,,0,,,24,WINEMILLER,,L
,,0.2105,,0.3684,,0.3684,,0.0526,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-510,,4,,2,,7,,1,,0,,,14,,2.642,,0,,,False,,False,,1,,0,,,15,WINEMILLER,,L
,,0.2857,,0.1429,,0.5,,0.0714,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-511,,3,,3,,10,,2,,1,,,19,,2.263,,0,,,False,,False,,3,,1,,,23,WINEMILLER,,L
,,0.1579,,0.1579,,0.5263,,0.1053,,0.0526,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,,TOTAL,,INSTRUCTOR,
BIOL-107-512,,6,,2,,10,,2,,1,,,21,,2.476,,0,,,False,,False,3,,,,False,,24,,WINEMILLER,L
,,0.2857,,0.0952,,0.4762,,0.0952,,0.0476,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,56,,68,,77,,18,,10,,,229,,2.62,,0,,,False,,False,29,,,,True,,259,,,
,,0.2445,,0.2969,,0.3362,,0.0786,,0.0437,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-201,,6,,6,,1,,2,,0,,,15,,3.066,,0,,,False,,False,2,,,,False,,17,,RYAN K,
,,0.4,,0.4,,0.0667,,0.1333,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-202,,11,,5,,0,,0,,0,,,16,,3.687,,0,,,False,,False,1,,,,False,,17,,RYAN K,
,,0.6875,,0.3125,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-203,,9,,5,,1,,1,,0,,,16,,3.375,,0,,,False,,False,3,,,,False,,19,,RYAN K,
,,0.5625,,0.3125,,0.0625,,0.0625,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-204,,7,,6,,0,,0,,1,,,14,,3.285,,0,,,False,,False,4,,,,False,,18,,RYAN K,
,,0.5,,0.4286,,0.0,,0.0,,0.0714,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-501,,6,,5,,9,,3,,1,,,24,,2.5,,0,,,False,,False,0,,,,False,,24,,LEBOEUF B,
,,0.25,,0.2083,,0.375,,0.125,,0.0417,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-502,,4,,8,,9,,0,,1,,,22,,2.636,,0,,,False,,False,2,,,,False,,24,,LEBOEUF B,
,,0.1818,,0.3636,,0.4091,,0.0,,0.0455,,,,,,,,,,,,,,,,,,,,,,
