SECTION,b,A,d,B,f,C,h,D,j,F,l,A_2,- F,o,GPA,q,I,s,S,u,U,w,Q,y,z,X,bb,cc,TOTAL,ee,INSTRUCTOR,gg
BIOL-100-500,,32,,2,,3,,1,,1,,,39,,3.615,,0,,,False,,False,0,,,,False,,39,,RAO A,
,,0.8205,,0.0513,,0.0769,,0.0256,,0.0256,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,32,,2,,3,,1,,1,,,39,,3.615,,0,,,False,,False,0,,,,False,,39,,,
,,0.8205,,0.0513,,0.0769,,0.0256,,0.0256,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-501,,9,,5,,10,,0,,0,,,24,,2.958,,0,,,False,,False,0,,,,False,,24,,WINEMILLER,L
,,0.375,,0.2083,,0.4167,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-502,,6,,9,,6,,1,,0,,,22,,2.909,,0,,,False,,False,2,,,,False,,24,,WINEMILLER,L
,,0.2727,,0.4091,,0.2727,,0.0455,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-503,,8,,1,,10,,3,,0,,,22,,2.636,,0,,,False,,False,2,,,,False,,24,,WINEMILLER,L
,,0.3636,,0.0455,,0.4545,,0.1364,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-505,,5,,7,,6,,3,,0,,,21,,2.666,,0,,,False,,False,2,,,,False,,23,,WINEMILLER,L
,,0.2381,,0.3333,,0.2857,,0.1429,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-506,,6,,8,,8,,0,,0,,,22,,2.909,,0,,,False,,False,2,,,,False,,24,,WINEMILLER,L
,,0.2727,,0.3636,,0.3636,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-508,,6,,7,,8,,2,,0,,,23,,2.739,,0,,,False,,False,0,,,,False,,23,,WINEMILLER,L
,,0.2609,,0.3043,,0.3478,,0.087,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-509,,5,,6,,7,,1,,0,,,19,,2.789,,0,,,False,,False,5,,,,False,,24,,WINEMILLER,L
,,0.2632,,0.3158,,0.3684,,0.0526,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-510,,5,,5,,7,,1,,0,,,18,,2.777,,0,,,False,,False,5,,,,False,,23,,WINEMILLER,L
,,0.2778,,0.2778,,0.3889,,0.0556,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-511,,14,,1,,7,,0,,0,,,22,,3.318,,0,,,False,,False,2,,,,False,,24,,WINEMILLER,L
,,0.6364,,0.0455,,0.3182,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-107-512,,9,,8,,2,,1,,0,,,20,,3.25,,0,,,False,,False,4,,,,False,,24,,WINEMILLER,L
,,0.45,,0.4,,0.1,,0.05,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,73,,57,,71,,12,,0,,,213,,2.896,,0,,,False,,False,24,,,,False,,237,,,
,,0.3427,,0.2676,,0.3333,,0.0563,,0.0,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,,TOTAL,INSTRUCTOR,,
BIOL-111-201,,16,,1,,3,,1,,0,,,21,,3.523,,0,,,False,,False,,0,,0,,,21,RYAN K,,
,,0.7619,,0.0476,,0.1429,,0.0476,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-202,,14,,4,,2,,0,,0,,,20,,3.6,,0,,,False,,False,,1,,0,,,21,RYAN K,,
,,0.7,,0.2,,0.1,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-203,,14,,1,,4,,0,,0,,,19,,3.526,,0,,,False,,False,,2,,0,,,21,RYAN K,,
,,0.7368,,0.0526,,0.2105,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-204,,10,,5,,2,,0,,0,,,17,,3.47,,0,,,False,,False,,2,,0,,,19,RYAN K,,
,,0.5882,,0.2941,,0.1176,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-501,,7,,7,,3,,2,,1,,,20,,2.85,,0,,,False,,False,,2,,0,,,22,RAO A,,
,,0.35,,0.35,,0.15,,0.1,,0.05,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-502,,8,,8,,4,,0,,0,,,20,,3.2,,0,,,False,,False,,4,,0,,,24,RAO A,,
,,0.4,,0.4,,0.2,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-503,,9,,2,,7,,0,,0,,,18,,3.111,,0,,,False,,False,,1,,0,,,19,RAO A,,
,,0.5,,0.1111,,0.3889,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-504,,5,,8,,9,,1,,0,,,23,,2.739,,0,,,False,,False,,1,,0,,,24,RAO A,,
,,0.2174,,0.3478,,0.3913,,0.0435,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-505,,9,,4,,5,,0,,0,,,18,,3.222,,0,,,False,,False,,2,,0,,,20,RAO A,,
,,0.5,,0.2222,,0.2778,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-506,,8,,6,,2,,1,,1,,,18,,3.055,,0,,,False,,False,,1,,0,,,19,RAO A,,
,,0.4444,,0.3333,,0.1111,,0.0556,,0.0556,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-507,,10,,3,,4,,2,,0,,,19,,3.105,,0,,,False,,False,,2,,0,,,21,RAO A,,
,,0.5263,,0.1579,,0.2105,,0.1053,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-508,,3,,4,,5,,0,,0,,,12,,2.833,,0,,,False,,False,,3,,0,,,15,RAO A,,
,,0.25,,0.3333,,0.4167,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-510,,10,,4,,3,,1,,0,,,18,,3.277,,0,,,False,,False,,2,,0,,,20,RAO A,,
,,0.5556,,0.2222,,0.1667,,0.0556,,0.0,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,,TOTAL,INSTRUCTOR,,
BIOL-111-511,,5,,3,,5,,1,,0,,,14,,2.857,,0,,,False,,False,,0,,0,,,14,RAO A,,
,,0.3571,,0.2143,,0.3571,,0.0714,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-512,,7,,9,,3,,1,,0,,,20,,3.1,,0,,,False,,False,,2,,0,,,22,RAO A,,
,,0.35,,0.45,,0.15,,0.05,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-513,,11,,9,,3,,1,,0,,,24,,3.25,,0,,,False,,False,,0,,0,,,24,HAWKINS A,,
,,0.4583,,0.375,,0.125,,0.0417,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-514,,12,,9,,1,,2,,0,,,24,,3.291,,0,,,False,,False,,0,,0,,,24,HAWKINS A,,
,,0.5,,0.375,,0.0417,,0.0833,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-515,,10,,9,,4,,1,,0,,,24,,3.166,,0,,,False,,False,,0,,0,,,24,HAWKINS A,,
,,0.4167,,0.375,,0.1667,,0.0417,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-516,,9,,12,,3,,0,,0,,,24,,3.25,,0,,,False,,False,,0,,0,,,24,HAWKINS A,,
,,0.375,,0.5,,0.125,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-517,,10,,10,,3,,1,,0,,,24,,3.208,,0,,,False,,False,,0,,0,,,24,HAWKINS A,,
,,0.4167,,0.4167,,0.125,,0.0417,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-518,,12,,4,,6,,0,,0,,,22,,3.272,,0,,,False,,False,,1,,0,,,23,HAWKINS A,,
,,0.5455,,0.1818,,0.2727,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-519,,12,,8,,3,,0,,0,,,23,,3.391,,0,,,False,,False,,1,,0,,,24,HAWKINS A,,
,,0.5217,,0.3478,,0.1304,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-520,,13,,6,,4,,0,,0,,,23,,3.391,,0,,,False,,False,,0,,0,,,23,HAWKINS A,,
,,0.5652,,0.2609,,0.1739,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-521,,14,,6,,2,,0,,0,,,22,,3.545,,0,,,False,,False,,2,,0,,,24,HAWKINS A,,
,,0.6364,,0.2727,,0.0909,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-522,,11,,10,,2,,0,,1,,,24,,3.25,,0,,,False,,False,,0,,0,,,24,HAWKINS A,,
,,0.4583,,0.4167,,0.0833,,0.0,,0.0417,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-523,,8,,9,,5,,0,,1,,,23,,3.0,,0,,,False,,False,,1,,0,,,24,HAWKINS A,,
,,0.3478,,0.3913,,0.2174,,0.0,,0.0435,,,,,,,,,,,,,,,,,,,,,,
