SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
BIOL-111-100,,14,,6,,3,,0,,,1,,24,,,,3.333,,0,,,0,,,0,,,2,,,0,,26,,,HAWKINS A,
,,0.5833,,0.25,,0.125,,0.0,,,0.0417,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-101,,6,,4,,3,,2,,,1,,16,,,,2.75,,0,,,0,,,0,,,2,,,0,,18,,,HAWKINS A,
,,0.375,,0.25,,0.1875,,0.125,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-102,,17,,4,,4,,1,,,1,,27,,,,3.296,,0,,,0,,,0,,,2,,,0,,29,,,HAWKINS A,
,,0.6296,,0.1481,,0.1481,,0.037,,,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-103,,7,,2,,6,,4,,,1,,20,,,,2.5,,0,,,0,,,0,,,2,,,0,,22,,,HAWKINS A,
,,0.35,,0.1,,0.3,,0.2,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-111-104,,6,,5,,1,,1,,,1,,14,,,,3.0,,0,,,0,,,0,,,1,,,0,,15,,,HAWKINS A,
,,0.4286,,0.3571,,0.0714,,0.0714,,,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,50,,21,,17,,8,,,5,,101,,,,3.019,,0,,,0,,,0,,,9,,,0,,110,,,,
,,0.495,,0.2079,,0.1683,,0.0792,,,0.0495,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-112-201,,13,,9,,3,,3,,,1,,29,,,,3.034,,0,,,0,,,0,,,1,,,0,,30,,,LEE C,
,,0.4483,,0.3103,,0.1034,,0.1034,,,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-112-202,,15,,4,,6,,0,,,2,,27,,,,3.111,,0,,,0,,,0,,,2,,,0,,29,,,LEE C,
,,0.5556,,0.1481,,0.2222,,0.0,,,0.0741,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-112-203,,15,,12,,2,,0,,,0,,29,,,,3.448,,0,,,0,,,0,,,0,,,0,,29,,,LEE C,
,,0.5172,,0.4138,,0.069,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-112-204,,16,,3,,8,,1,,,1,,29,,,,3.103,,1,,,0,,,0,,,0,,,0,,30,,,LEE C,
,,0.5517,,0.1034,,0.2759,,0.0345,,,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-112-205,,16,,6,,5,,1,,,0,,28,,,,3.321,,0,,,0,,,0,,,0,,,0,,28,,,LEE C,
,,0.5714,,0.2143,,0.1786,,0.0357,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-112-206,,13,,7,,7,,1,,,0,,28,,,,3.142,,0,,,0,,,0,,,0,,,0,,28,,,LEE C,
,,0.4643,,0.25,,0.25,,0.0357,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,88,,41,,31,,6,,,4,,170,,,,3.194,,1,,,0,,,0,,,3,,,0,,174,,,,
,,0.5176,,0.2412,,0.1824,,0.0353,,,0.0235,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,
BIOL-206-101,,5,,5,,3,,3,,,1,,,17,,,2.588,,0,,,,False,,,False,,,4,,0,,21,,MOYES R,,
,,0.2941,,0.2941,,0.1765,,0.1765,,,0.0588,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-206-102,,0,,2,,3,,0,,,0,,,5,,,2.4,,0,,,,False,,,False,,,1,,0,,6,,MOYES R,,
,,0.0,,0.4,,0.6,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,5,,7,,6,,3,,,1,,,22,,,2.545,,0,,,,False,,,False,,,5,,0,,27,,,,
,,0.2273,,0.3182,,0.2727,,0.1364,,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-213-100,,12,,9,,8,,1,,,0,,,30,,,3.066,,0,,,,False,,,False,,,0,,0,,30,,ERICKSON J,,
,,0.4,,0.3,,0.2667,,0.0333,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,12,,9,,8,,1,,,0,,,30,,,3.066,,0,,,,False,,,False,,,0,,0,,30,,,,
,,0.4,,0.3,,0.2667,,0.0333,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-214-200,,16,,10,,6,,3,,,2,,,37,,,2.945,,0,,,,False,,,False,,,0,,0,,37,,PEPPER A,,
,,0.4324,,0.2703,,0.1622,,0.0811,,,0.0541,,,,,,,,,,,,,,,,,,,,,,,,,,
