SECTION              A       B       C        D       F      A - F  GPR    I     S     U      Q     X     TOTAL  INSTRUCTOR,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,aa,bb,cc,dd,ee
VIBS-305-301,,,8,,9,,16,7,,0,,40,,2.45,,3,,False,,False,,9,,False,,52,,RUOFF L,,
,,,0.2,,0.225,,0.4,0.175,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL,:,,8,,9,,16,7,,0,,40,,2.45,,3,,False,,False,,9,,False,,52,,,,
,,,0.2,,0.225,,0.4,0.175,,0.0,,,,,,,,,,,,,,,,,,,,
VIBS-489-250,,,10,,0,,0,0,,0,,10,,4.0,,0,,False,,False,,0,,False,,10,,WALTZ M,,
,,,1.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL,:,,10,,0,,0,0,,0,,10,,4.0,,0,,False,,False,,0,,False,,10,,,,
,,,1.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
VIBS-601-301,,,8,,3,,2,0,,0,,13,,3.462,,0,,False,,False,,1,,False,,14,,RUOFF L,,
,,,0.6154,,0.2308,,0.1538,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL,:,,8,,3,,2,0,,0,,13,,3.462,,0,,False,,False,,1,,False,,14,,,,
,,,0.6154,,0.2308,,0.1538,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
VIBS-615-301,,,21,,4,,0,0,,0,,25,,3.84,,0,,False,,False,,0,,False,,25,,RUSSELL L,,
,,,0.84,,0.16,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL,:,,21,,4,,0,0,,0,,25,,3.84,,0,,False,,False,,0,,False,,25,,,,
,,,0.84,,0.16,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
VIBS-616-102,,,21,,0,,0,0,,0,,21,,4.0,,0,,False,,False,,0,,False,,21,,ABBOTT L,,
,,,1.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
