BIMS-101-501,90,c,d,10,f,1,h,0,j,2,l,m,103,o,3.805,q,r,0_2,t,u,0_3,w,0_4,y,z,0_5,bb,cc,dd,0_6,ff,gg,103_2,ii,IVANOV I,kk,ll
,0.8738,,,0.0971,,0.0097,,0.0,,0.0194,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-101-502,93,,,7,,1,,0,,2,,,103,,3.834,,,0,,,0,,False,,,False,,,,False,,,103,,IVANOV I,,
,0.9029,,,0.068,,0.0097,,0.0,,0.0194,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-101-504,96,,,2,,0,,0,,0,,,98,,3.979,,,0,,,0,,False,,,True,,,,False,,,99,,TIAN Y,,
,0.9796,,,0.0204,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,279,,,19,,2,,0,,4,,,304,,3.871,,,0,,,0,,False,,,True,,,,False,,,305,,,,
,0.9178,,,0.0625,,0.0066,,0.0,,0.0132,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-110-501,67,,,17,,2,,0,,0,,,86,,3.755,,,0,,,0,,False,,,False,,,,False,,,86,,YOUNG C,,
,0.7791,,,0.1977,,0.0233,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-110-502,63,,,19,,3,,0,,0,,,85,,3.705,,,0,,,0,,False,,,False,,,,False,,,85,,YOUNG C,,
,0.7412,,,0.2235,,0.0353,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,130,,,36,,5,,0,,0,,,171,,3.73,,,0,,,0,,False,,,False,,,,False,,,171,,,,
,0.7602,,,0.2105,,0.0292,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-201-500,22,,,8,,3,,0,,0,,,33,,3.575,,,0,,,0,,False,,,False,,,,False,,,33,,CROUCH E,,
,0.6667,,,0.2424,,0.0909,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
