SECTION,A,c,B,e,C,g,D,i,F,k,A_2,- F,n,GPA,p,I,r,S,t,U,v,Q,x,y,X,aa,TOTAL,INSTRUCTOR,dd
VIBS-305-301,25,,21,,11,,2,,0,,,59,,3.169,,1,,,False,,False,,True,,1,,62,PINE M,
,0.4237,,0.3559,,0.1864,,0.0339,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,25,,21,,11,,2,,0,,,59,,3.169,,1,,,False,,False,,True,,1,,62,,
,0.4237,,0.3559,,0.1864,,0.0339,,0.0,,,,,,,,,,,,,,,,,,,,
VIBS-616-101,10,,0,,0,,0,,0,,,10,,4.0,,0,,,False,,False,,False,,0,,10,ABBOTT L,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,10,,0,,0,,0,,0,,,10,,4.0,,0,,,False,,False,,False,,0,,10,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
VIBS-689-101,5,,0,,0,,0,,0,,,5,,4.0,,0,,,False,,False,,False,,0,,5,NGHIEM P,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,5,,0,,0,,0,,0,,,5,,4.0,,0,,,False,,False,,False,,0,,5,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,40,,21,,11,,2,,0,,,74,,3.276,,1,,,False,,False,,True,,1,,77,,
,0.5405,,0.2838,,0.1486,,0.027,,0.0,,,,,,,,,,,,,,,,,,,,
SECTION,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,TOTAL,INSTRUCTOR,
VTPP-401-150,26,,0,,0,,0,,0,,,26,,4.0,,0,,,False,,False,,False,,1,,27,WASSER J,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,26,,0,,0,,0,,0,,,26,,4.0,,0,,,False,,False,,False,,1,,27,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
VTPP-423-300,9,,14,,17,,13,,1,,,54,,2.314,,0,,,False,,False,,True,,0,,55,HERMAN J,
,0.1667,,0.2593,,0.3148,,0.2407,,0.0185,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,9,,14,,17,,13,,1,,,54,,2.314,,0,,,False,,False,,True,,0,,55,,
,0.1667,,0.2593,,0.3148,,0.2407,,0.0185,,,,,,,,,,,,,,,,,,,,
VTPP-485-108,10,,0,,0,,0,,0,,,10,,4.0,,0,,,False,,False,,False,,0,,10,RAMADOSS J,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
VTPP-485-308,10,,0,,0,,0,,0,,,10,,4.0,,2,,,False,,False,,False,,0,,12,BLUE MCLENDON,A
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,20,,0,,0,,0,,0,,,20,,4.0,,2,,,False,,False,,False,,0,,22,,
,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
VTPP-489-150,27,,2,,0,,0,,0,,,29,,3.931,,0,,,False,,False,,False,,0,,29,FAJT V,
,0.931,,0.069,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,27,,2,,0,,0,,0,,,29,,3.931,,0,,,False,,False,,False,,0,,29,,
,0.931,,0.069,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
