SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,GPA     I,p,q,r,S     U     Q,t,u,v,w,x,y,X    TOTAL,aa,bb,cc,dd,INSTRUCTOR,ff,gg
BIMS-101-501,,118,,2,,2,,0,,,0,,122,,3.95,,False,,,False,,False,,0,,,0,,122,,TIAN Y,
,,0.9672,,0.0164,,0.0164,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
BIMS-101-502,,121,,0,,0,,0,,,0,,121,,4.0,,False,,,False,,False,,0,,,2,,123,,TIAN Y,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
BIMS-101-503,,111,,9,,3,,0,,,2,,125,,3.816,,False,,,False,,False,,1,,,0,,126,,IVANOV I,
,,0.888,,0.072,,0.024,,0.0,,,0.016,,,,,,,,,,,,,,,,,,,,,
BIMS-101-504,,114,,7,,3,,0,,,0,,124,,3.895,,False,,,False,,False,,1,,,0,,125,,IVANOV I,
,,0.9194,,0.0565,,0.0242,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,464,,18,,8,,0,,,2,,492,,3.914,,False,,,False,,False,,2,,,2,,496,,,
,,0.9431,,0.0366,,0.0163,,0.0,,,0.0041,,,,,,,,,,,,,,,,,,,,,
BIMS-110-501,,95,,4,,0,,0,,,0,,99,,3.959,,False,,,False,,False,,0,,,0,,99,,YOUNG C,
,,0.9596,,0.0404,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
BIMS-110-502,,98,,2,,0,,0,,,0,,100,,3.98,,False,,,False,,False,,0,,,0,,100,,YOUNG C,
,,0.98,,0.02,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,193,,6,,0,,0,,,0,,199,,3.969,,False,,,False,,False,,0,,,0,,199,,,
,,0.9698,,0.0302,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
BIMS-289-501,,99,,0,,1,,0,,,0,,100,,3.98,,False,,,False,,False,,0,,,0,,100,,YOUNG C,
,,0.99,,0.0,,0.01,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
BIMS-289-502,,80,,0,,1,,1,,,0,,82,,3.939,,False,,,False,,False,,0,,,0,,82,,YOUNG C,
,,0.9756,,0.0,,0.0122,,0.0122,,,0.0,,,,,,,,,,,,,,,,,,,,,
BIMS-289-503,,4,,2,,0,,0,,,0,,6,,3.666,,False,,,False,,False,,0,,,0,,6,,KRENEK N,
