SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll
BIMS-101-501,,125,,0,,0,,0,,,0,,125,,,,4.0,,0,,,0,,,0,,,0,,,0,,125,,,TIAN Y,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-101-502,,122,,0,,0,,0,,,0,,122,,,,4.0,,0,,,0,,,0,,,0,,,0,,122,,,TIAN Y,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-101-503,,111,,9,,1,,0,,,1,,122,,,,3.877,,0,,,0,,,0,,,1,,,0,,123,,,IVANOV I,
,,0.9098,,0.0738,,0.0082,,0.0,,,0.0082,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-101-504,,115,,5,,0,,0,,,0,,120,,,,3.958,,0,,,0,,,0,,,2,,,0,,122,,,IVANOV I,
,,0.9583,,0.0417,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-101-M01,,36,,5,,0,,0,,,0,,41,,,,3.878,,0,,,0,,,0,,,0,,,0,,41,,,MIRHOSSEINI N,
,,0.878,,0.122,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,509,,19,,1,,0,,,1,,530,,,,3.952,,0,,,0,,,0,,,3,,,0,,533,,,,
,,0.9604,,0.0358,,0.0019,,0.0,,,0.0019,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-110-501,,95,,1,,0,,0,,,1,,97,,,,3.948,,0,,,0,,,0,,,0,,,0,,97,,,YOUNG C,
,,0.9794,,0.0103,,0.0,,0.0,,,0.0103,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-110-502,,90,,3,,2,,0,,,1,,96,,,,3.885,,0,,,0,,,0,,,0,,,0,,96,,,YOUNG C,
,,0.9375,,0.0313,,0.0208,,0.0,,,0.0104,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,185,,4,,2,,0,,,2,,193,,,,3.917,,0,,,0,,,0,,,0,,,0,,193,,,,
,,0.9585,,0.0207,,0.0104,,0.0,,,0.0104,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-289-500,,5,,2,,0,,0,,,0,,7,,,,3.714,,0,,,0,,,0,,,0,,,0,,7,,,KRENEK N,
,,0.7143,,0.2857,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-289-502,,23,,0,,0,,0,,,0,,23,,,,4.0,,0,,,0,,,0,,,0,,,0,,23,,,CARLISLE E,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-289-503,,25,,0,,0,,0,,,0,,25,,,,4.0,,0,,,0,,,0,,,0,,,0,,25,,,BLACK M,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,53,,2,,0,,0,,,0,,55,,,,3.913,,0,,,0,,,0,,,0,,,0,,55,,,,
,,0.9636,,0.0364,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,X    TOTAL,,,,,INSTRUCTOR,,,
BIMS-320-201,,10,,1,,0,,0,,,0,,11,,,,3.909,,0,,,0,,,0,,,0,,,0,,11,,,RAUDSEPP T,
,,0.9091,,0.0909,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-501,,10,,13,,17,,11,,,12,,63,,,,1.968,,0,,,0,,,0,,,13,,,0,,76,,,KATJU V,
,,0.1587,,0.2063,,0.2698,,0.1746,,,0.1905,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-502,,76,,4,,1,,0,,,0,,81,,,,3.925,,0,,,0,,,0,,,0,,,0,,81,,,VENKATRAJ V,
,,0.9383,,0.0494,,0.0123,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-503,,27,,17,,26,,2,,,2,,74,,,,2.878,,0,,,0,,,0,,,5,,,0,,79,,,BERGTHORSSON U,
,,0.3649,,0.2297,,0.3514,,0.027,,,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-550,,13,,0,,0,,0,,,0,,13,,,,4.0,,0,,,0,,,0,,,0,,,0,,13,,,DERR J,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,136,,35,,44,,13,,,14,,242,,,,3.099,,0,,,0,,,0,,,18,,,0,,260,,,,
,,0.562,,0.1446,,0.1818,,0.0537,,,0.0579,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-405-500,,31,,15,,1,,0,,,0,,47,,,,3.638,,0,,,0,,,0,,,0,,,0,,47,,,DERR J,
,,0.6596,,0.3191,,0.0213,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,31,,15,,1,,0,,,0,,47,,,,3.638,,0,,,0,,,0,,,0,,,0,,47,,,,
,,0.6596,,0.3191,,0.0213,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-421-500,,19,,0,,0,,0,,,0,,19,,,,4.0,,0,,,0,,,0,,,1,,,0,,20,,,VENKATRAJ V,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,0,,0,,0,,,0,,19,,,,4.0,,0,,,0,,,0,,,1,,,0,,20,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-485-500,,23,,0,,0,,0,,,0,,23,,,,4.0,,0,,,4,,,0,,,0,,,0,,27,,,CROUCH E,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,23,,0,,0,,0,,,0,,23,,,,4.0,,0,,,4,,,0,,,0,,,0,,27,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,
BIMS-489-500,,62,,1,,1,,0,,,2,,,66,,,3.833,,0,,,,False,,,False,,,1,,0,,67,,YOUNG C,,
,,0.9394,,0.0152,,0.0152,,0.0,,,0.0303,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-489-501,,63,,3,,0,,1,,,0,,,67,,,3.91,,0,,,,False,,,False,,,0,,0,,67,,YOUNG C,,
,,0.9403,,0.0448,,0.0,,0.0149,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,125,,4,,1,,1,,,2,,,133,,,3.872,,0,,,,False,,,False,,,1,,0,,134,,,,
,,0.9398,,0.0301,,0.0075,,0.0075,,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-491-534,,9,,0,,0,,0,,,0,,,9,,,4.0,,0,,,,False,,,False,,,1,,0,,10,,CROUCH E,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,0,,0,,0,,,0,,,9,,,4.0,,0,,,,False,,,False,,,1,,0,,10,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-602-600,,30,,1,,0,,0,,,0,,,31,,,3.967,,0,,,,False,,,False,,,0,,0,,31,,BURGHARDT R,,
,,0.9677,,0.0323,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,30,,1,,0,,0,,,0,,,31,,,3.967,,0,,,,False,,,False,,,0,,0,,31,,,,
,,0.9677,,0.0323,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
