BIMS-101-501,108,c,d,11,f,0,h,0_2,j,1,l,m,120,o,3.875,q,r,0_3,t,u,0_4,w,0_5,y,z,0_6,bb,cc,dd,0_7,ff,gg,120_2,ii,IVANOV I,kk,ll,mm
,0.9,,,0.0917,,0.0,,0.0,,0.0083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-101-502,107,,,8,,2,,0,,3,,,120,,3.8,,,False,,,False,,False,,,False,,,,False,,,120,,IVANOV I,,,
,0.8917,,,0.0667,,0.0167,,0.0,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-101-504,105,,,0,,0,,0,,0,,,105,,4.0,,,False,,,False,,False,,,False,,,,False,,,105,,TIAN Y,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,320,,,19,,2,,0,,4,,,345,,3.886,,,False,,,False,,False,,,False,,,,False,,,345,,,,,
,0.9275,,,0.0551,,0.0058,,0.0,,0.0116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-110-501,99,,,1,,0,,0,,0,,,100,,3.99,,,False,,,False,,False,,,False,,,,False,,,100,,YOUNG C,,,
,0.99,,,0.01,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-110-502,93,,,6,,0,,0,,0,,,99,,3.939,,,False,,,False,,False,,,False,,,,False,,,99,,YOUNG C,,,
,0.9394,,,0.0606,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,192,,,7,,0,,0,,0,,,199,,3.964,,,False,,,False,,False,,,False,,,,False,,,199,,,,,
,0.9648,,,0.0352,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-201-500,33,,,5,,0,,0,,0,,,38,,3.868,,,False,,,False,,False,,,False,,,,False,,,38,,CROUCH E,,,
,0.8684,,,0.1316,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,33,,,5,,0,,0,,0,,,38,,3.868,,,False,,,False,,False,,,False,,,,False,,,38,,,,,
,0.8684,,,0.1316,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-289-500,20,,,0,,0,,0,,0,,,20,,4.0,,,False,,,False,,False,,,False,,,,False,,,20,,BLACK M,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-289-501,13,,,0,,0,,0,,0,,,13,,4.0,,,False,,,False,,False,,,False,,,,False,,,13,,CARLISLE,E,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-289-503,5,,,0,,0,,0,,0,,,5,,4.0,,,False,,,False,,False,,,False,,,,False,,,5,,KRENEK N,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,38,,,0,,0,,0,,0,,,38,,4.0,,,False,,,False,,False,,,False,,,,False,,,38,,,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-200,11,,,1,,0,,0,,0,,,12,,3.916,,,False,,,False,,False,,,False,,,,False,,,12,,SEABURY C,,,
,0.9167,,,0.0833,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-502,60,,,35,,5,,0,,1,,,101,,3.514,,,False,,,False,,False,,,False,,,,False,,,101,,DERR J,,,
,0.5941,,,0.3465,,0.0495,,0.0,,0.0099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-503,69,,,6,,0,,0,,0,,,75,,3.92,,,False,,,False,,False,,,False,,,,False,,,75,,DAVIS B,,,
,0.92,,,0.08,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-504,41,,,26,,19,,2,,2,,,90,,3.133,,,False,,,False,,False,,,False,,,,False,,,90,,SKOW L,,,
,0.4556,,,0.2889,,0.2111,,0.0222,,0.0222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,181,,,68,,24,,2,,3,,,278,,3.517,,,False,,,False,,False,,,False,,,,False,,,278,,,,,
,0.6511,,,0.2446,,0.0863,,0.0072,,0.0108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-421-500,22,,,0,,0,,0,,0,,,22,,4.0,,,False,,,False,,False,,,False,,,,False,,,22,,VENKATRAJ,,V,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,22,,,0,,0,,0,,0,,,22,,4.0,,,False,,,False,,False,,,False,,,,False,,,22,,,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-485-501,24,,,0,,0,,0,,0,,,24,,4.0,,,True,,,False,,False,,,False,,,,False,,,25,,CROUCH E,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-485-543,8,,,0,,0,,0,,0,,,8,,4.0,,,False,,,False,,False,,,True,,,,False,,,9,,CROUCH E,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,32,,,0,,0,,0,,0,,,32,,4.0,,,True,,,False,,False,,,True,,,,False,,,34,,,,,
,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-489-502,95,,,0,,0,,1,,1,,,97,,3.927,,,False,,,False,,False,,,False,,,,False,,,97,,YOUNG C,,,
,0.9794,,,0.0,,0.0,,0.0103,,0.0103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,F,,A,- F,,GPA,,I,,,S,,U,,,Q,,,,X,,,TOTAL,,INSTRUCTOR,,,,
BIMS-489-503,,44,,0,,1,,0,,0,,,45,,3.955,,0,,,,False,,,False,,,False,,0,,,45,,YOUNG C,,,,
,,0.9778,,0.0,,0.0222,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,139,,0,,1,,1,,1,,,142,,3.936,,0,,,,False,,,False,,,False,,0,,,142,,,,,,
,,0.9789,,0.0,,0.007,,0.007,,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-491-532,,15,,0,,0,,0,,0,,,15,,4.0,,0,,,,False,,,False,,,False,,0,,,15,,CROUCH E,,,,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMS-491-932,,5,,0,,0,,0,,0,,,5,,4.0,,0,,,,False,,,False,,,False,,0,,,5,,CROUCH E,,,,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,20,,0,,0,,0,,0,,,20,,4.0,,0,,,,False,,,False,,,False,,0,,,20,,,,,,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMID-686-600,,40,,0,,0,,0,,0,,,40,,4.0,,0,,,,False,,,False,,,False,,0,,,40,,JOHNSON G,,,,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,40,,0,,0,,0,,0,,,40,,4.0,,0,,,,False,,,False,,,False,,0,,,40,,,,,,
,,1.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
