DEPARTMENT:,COLLEGE OF VETERINARY MEDICINE,c,d,e,f,g,h,i,TOTAL,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,aa,bb,cc,dd,ee,ff
SECTION,,A,,B,,C,,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,TOTAL   INSTRUCTOR,,
BIMS-485-343,,7,,0,,0,,,0,,0,,,7,,4.0,,0,,,False,,False,,False,,0,,7 BLACK M,,
,,1.0,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,0,,0,,,0,,0,,,7,,4.0,,0,,,False,,False,,False,,0,,7,,
,,1.0,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,7,,0,,0,,,0,,0,,,7,,4.0,,0,,,False,,False,,False,,0,,7,,
,,1.0,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
DEPARTMENT:,VET INTEGRATIVE BIOSCIENCES,,,,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,,D,,F,,A,- F,,GPA,,I,,S,,U,,Q,,,X,,TOTAL,INSTRUCTOR,
VIBS-655-201,,11,,1,,0,,,0,,0,,,12,,3.916,,0,,,False,,False,,False,,0,,12,GASTEL B,
,,0.9167,,0.0833,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,11,,1,,0,,,0,,0,,,12,,3.916,,0,,,False,,False,,False,,0,,12,,
,,0.9167,,0.0833,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
VIBS-665-399,,6,,0,,0,,,0,,0,,,6,,4.0,,0,,,False,,False,,False,,0,,6,GASTEL B,
,,1.0,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,0,,0,,,0,,0,,,6,,4.0,,0,,,False,,False,,False,,0,,6,,
,,1.0,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
VIBS-685-328,,4,,2,,0,,,0,,0,,,6,,3.647,,0,,,False,,False,,False,,0,,6,GASTEL B,
,,0.6667,,0.3333,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
VIBS-685-341,,4,,1,,0,,,0,,0,,,5,,3.769,,0,,,False,,False,,False,,0,,5,GASTEL B,
,,0.8,,0.2,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,3,,0,,,0,,0,,,11,,3.7,,0,,,False,,False,,False,,0,,11,,
,,0.7273,,0.2727,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
