SECTION,A       B        C       D,c,d,e,f,g,h,i,j,k,l,F      A - F,n,o,p,q,GPA     I,s,t,u,S     U     Q,w,x,y,z,aa,bb,X    TOTAL,dd,ee,ff,gg,INSTRUCTOR,ii,jj,kk,ll
BIMS-101-501,,,97,,,13,,,5,,0,,,3,,118,,3.703,,0,,,False,,False,,1,,,False,,119,,IVANOV I,,,
,,,0.822,,,0.1102,,,0.0424,,0.0,,,0.0254,,,,,,,,,,,,,,,,,,,,,,,
BIMS-101-502,,,91,,,13,,,5,,0,,,5,,114,,3.622,,0,,,False,,False,,3,,,False,,117,,IVANOV I,,,
,,,0.7982,,,0.114,,,0.0439,,0.0,,,0.0439,,,,,,,,,,,,,,,,,,,,,,,
BIMS-101-504,,,104,,,0,,,0,,0,,,0,,104,,4.0,,0,,,False,,False,,2,,,False,,106,,TIAN Y,,,
,,,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,292,,,26,,,10,,0,,,8,,336,,3.767,,0,,,False,,False,,6,,,False,,342,,,,,
,,,0.869,,,0.0774,,,0.0298,,0.0,,,0.0238,,,,,,,,,,,,,,,,,,,,,,,
BIMS-110-501,,,67,,,2,,,1,,0,,,1,,71,,3.887,,0,,,False,,False,,1,,,False,,72,,YOUNG C,,,
,,,0.9437,,,0.0282,,,0.0141,,0.0,,,0.0141,,,,,,,,,,,,,,,,,,,,,,,
BIMS-110-502,,,56,,,0,,,0,,0,,,0,,56,,4.0,,0,,,False,,False,,0,,,False,,56,,YOUNG C,,,
,,,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,123,,,2,,,1,,0,,,1,,127,,3.937,,0,,,False,,False,,1,,,False,,128,,,,,
,,,0.9685,,,0.0157,,,0.0079,,0.0,,,0.0079,,,,,,,,,,,,,,,,,,,,,,,
BIMS-201-500,,,19,,,5,,,1,,0,,,1,,26,,3.576,,0,,,False,,False,,1,,,False,,27,,CROUCH E,,,
,,,0.7308,,,0.1923,,,0.0385,,0.0,,,0.0385,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,19,,,5,,,1,,0,,,1,,26,,3.576,,0,,,False,,False,,1,,,False,,27,,,,,
,,,0.7308,,,0.1923,,,0.0385,,0.0,,,0.0385,,,,,,,,,,,,,,,,,,,,,,,
BIMS-289-510,,,6,,,2,,,0,,0,,,0,,8,,3.75,,0,,,False,,False,,0,,,False,,8,,KRENEK N,,,
,,,0.75,,,0.25,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
BIMS-289-511,,,6,,,0,,,0,,0,,,0,,6,,4.0,,0,,,False,,False,,0,,,False,,6,,KRENEK N,,,
,,,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,12,,,2,,,0,,0,,,0,,14,,3.857,,0,,,False,,False,,0,,,False,,14,,,,,
,,,0.8571,,,0.1429,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
BIMS-291-500,,6,,,0,,,0,,0,,,,0,,6,,4.0,,0,,,False,,False,,0,,,False,,6,,CROUCH E,,,
,,1.0,,,0.0,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,6,,,0,,,0,,0,,,,0,,6,,4.0,,0,,,False,,False,,0,,,False,,6,,,,,
,,1.0,,,0.0,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-200,,9,,,2,,,0,,0,,,,0,,11,,3.818,,0,,,False,,False,,1,,,False,,12,,SEABURY C,,,
,,0.8182,,,0.1818,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-502,,39,,,51,,,37,,9,,,,3,,139,,2.82,,2,,,False,,False,,2,,,False,,143,,DERR J,,,
,,0.2806,,,0.3669,,,0.2662,,0.0647,,,,0.0216,,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-503,,27,,,33,,,24,,6,,,,0,,90,,2.9,,1,,,False,,False,,9,,,False,,100,,DINDOT S,,,
,,0.3,,,0.3667,,,0.2667,,0.0667,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-504,,35,,,31,,,18,,10,,,,1,,95,,2.936,,0,,,False,,False,,8,,,False,,103,,SKOW L,,,
,,0.3684,,,0.3263,,,0.1895,,0.1053,,,,0.0105,,,,,,,,,,,,,,,,,,,,,,,
BIMS-320-M01,,5,,,1,,,2,,0,,,,0,,8,,3.375,,0,,,False,,False,,2,,,False,,10,,BUSCH C,,,
,,0.625,,,0.125,,,0.25,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,115,,,118,,,81,,25,,,,4,,343,,2.918,,3,,,False,,False,,22,,,False,,368,,,,,
,,0.3353,,,0.344,,,0.2362,,0.0729,,,,0.0117,,,,,,,,,,,,,,,,,,,,,,,
BIMS-421-500,,20,,,0,,,0,,0,,,,0,,20,,4.0,,0,,,False,,False,,0,,,False,,20,,VENKATRAJ,V,,
,,1.0,,,0.0,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,20,,,0,,,0,,0,,,,0,,20,,4.0,,0,,,False,,False,,0,,,False,,20,,,,,
,,1.0,,,0.0,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
BIMS-485-501,,18,,,0,,,0,,0,,,,0,,18,,4.0,,0,,,False,,False,,0,,,False,,18,,CROUCH E,,,
,,1.0,,,0.0,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
BIMS-485-543,,16,,,0,,,0,,0,,,,0,,16,,4.0,,0,,,False,,False,,0,,,False,,16,,CROUCH E,,,
,,1.0,,,0.0,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,34,,,0,,,0,,0,,,,0,,34,,4.0,,0,,,False,,False,,0,,,False,,34,,,,,
,,1.0,,,0.0,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
BIMS-491-532,,18,,,0,,,0,,0,,,,0,,18,,4.0,,0,,,False,,False,,0,,,False,,18,,CROUCH E,,,
,,1.0,,,0.0,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
BIMS-491-944,,7,,,0,,,0,,0,,,,0,,7,,4.0,,1,,,False,,False,,0,,,False,,8,,CISNEROS M,,,
,,1.0,,,0.0,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,25,,,0,,,0,,0,,,,0,,25,,4.0,,1,,,False,,False,,0,,,False,,26,,,,,
,,1.0,,,0.0,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
VMID-686-600,,29,,,0,,,0,,0,,,,0,,29,,4.0,,0,,,False,,False,,0,,,False,,29,,JOHNSON G,,,
,,1.0,,,0.0,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,29,,,0,,,0,,0,,,,0,,29,,4.0,,0,,,False,,False,,0,,,False,,29,,,,,
,,1.0,,,0.0,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,675,,,153,,,93,,25,,,,14,,960,,3.326,,4,,,False,,False,,30,,,False,,994,,,,,
