SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,ee,TOTAL,INSTRUCTOR,hh,ii
BIMS-320-300,,14,,,3,,,3,,5,,4,,,29,,2.62,,False,,,False,,False,,,3,,False,,32,BUSCH C,,
,,0.4828,,,0.1034,,,0.1034,,0.1724,,0.1379,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,14,,,3,,,3,,5,,4,,,29,,2.62,,False,,,False,,False,,,3,,False,,32,,,
,,0.4828,,,0.1034,,,0.1034,,0.1724,,0.1379,,,,,,,,,,,,,,,,,,,,,,
BIMS-485-343,,8,,,0,,,0,,0,,0,,,8,,4.0,,False,,,False,,False,,,0,,False,,8,BLACK M,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,8,,,0,,,0,,0,,0,,,8,,4.0,,False,,,False,,False,,,0,,False,,8,,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,22,,,3,,,3,,5,,4,,,37,,2.834,,False,,,False,,False,,,3,,False,,40,,,
,,0.5946,,,0.0811,,,0.0811,,0.1351,,0.1081,,,,,,,,,,,,,,,,,,,,,,
HOFFMAN A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIBS-305-300,26,,,24,,,15,,8,,,2,,,75,2.853,,,False,,,False,False,,,2,,,False,,77,,,
,0.3467,,,0.32,,,0.2,,0.1067,,,0.0267,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,26,,,24,,,15,,8,,,2,,,75,2.853,,,False,,,False,False,,,2,,,False,,77,,,
,0.3467,,,0.32,,,0.2,,0.1067,,,0.0267,,,,,,,,,,,,,,,,,,,,,,
VIBS-601-300,4,,,6,,,4,,0,,,1,,,15,2.8,,,False,,,False,False,,,4,,,False,,19,,,
,0.2667,,,0.4,,,0.2667,,0.0,,,0.0667,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,4,,,6,,,4,,0,,,1,,,15,2.8,,,False,,,False,False,,,4,,,False,,19,,,
,0.2667,,,0.4,,,0.2667,,0.0,,,0.0667,,,,,,,,,,,,,,,,,,,,,,
VIBS-633-200,13,,,0,,,1,,0,,,0,,,14,3.857,,,False,,,False,False,,,0,,,False,,14,,,
,0.9286,,,0.0,,,0.0714,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,13,,,0,,,1,,0,,,0,,,14,3.857,,,False,,,False,False,,,0,,,False,,14,,,
,0.9286,,,0.0,,,0.0714,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
VIBS-655-201,9,,,0,,,0,,0,,,0,,,9,4.0,,,False,,,False,False,,,0,,,False,,9,,,
,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,9,,,0,,,0,,0,,,0,,,9,4.0,,,False,,,False,False,,,0,,,False,,9,,,
,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
VIBS-685-309,11,,,0,,,0,,0,,,0,,,11,4.0,,,False,,,False,False,,,0,,,False,,11,,,
,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,11,,,0,,,0,,0,,,0,,,11,4.0,,,False,,,False,False,,,0,,,False,,11,,,
,1.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
HOFFMAN A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUDKE C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASTEL B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMER S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,63,,,30,,,20,,8,,,3,,,1243.06,,,,False,,,False,False,,,6,,,False,,130,,,
,0.5081,,,0.2419,,,0.1613,,0.0645,,,0.0242,,,,,,,,,,,,,,,,,,,,,,
